"","municipality","year","period","treatment","newspaper desert","status","province","id","CSD code","turnout","number of candidates","daily_free_paper_closure","weekly_paper_closure","acclaimed","place","margin_percent","closure","closure_count","first_closure","na","treat_group","t","timetotreat","census_year","Population","Density","delta","CD_UID","PR_UID"
"104","Coquitlam",2018,0,0,0,0,"British Columbia","5915034_2018",5915034,26.06,3,NA,NA,0,1,0.4209538114908,FALSE,6,FALSE,0,0,1,-1,2016,139284,1073.91148534162,0,"5915","59"
"105","Cornwall",2003,0,0,0,0,"Ontario","3501012_2003",3501012,42,3,NA,NA,0,1,NA,FALSE,1,FALSE,1,0,1,-5,2001,45640,735.547353311587,0,"3501","35"
"106","Cornwall",2006,0,0,0,0,"Ontario","3501012_2006",3501012,53.59,5,NA,NA,0,1,NA,FALSE,2,FALSE,1,0,1,-4,2006,45965,746.655724704388,0,"3501","35"
"107","Cornwall",2010,0,0,0,0,"Ontario","3501012_2010",3501012,43.51,3,NA,NA,0,1,NA,FALSE,3,FALSE,1,0,1,-3,2011,46340,752.84065755449,0,"3501","35"
"108","Cornwall",2014,0,0,0,0,"Ontario","3501012_2014",3501012,38.02,3,NA,NA,0,1,0.0689088775909269,FALSE,4,FALSE,0,0,1,-2,2016,46589,756.397328345344,0,"3501","35"
"109","Cornwall",2018,0,0,0,0,"Ontario","3501012_2018",3501012,38.08,4,NA,NA,0,1,0.291960281870596,FALSE,5,FALSE,0,0,1,-1,2016,46589,756.397328345344,0,"3501","35"
"110","Delta",2002,0,0,0,0,"British Columbia","5915011_2002",5915011,44.64,4,NA,NA,0,1,0.0777429214929215,FALSE,1,FALSE,0,0,1,-6,2001,96950,519.397925288474,0,"5915","59"
"111","Delta",2005,0,0,0,0,"British Columbia","5915011_2005",5915011,34.81,2,NA,NA,0,1,0.0349443309286519,FALSE,2,FALSE,0,0,1,-5,2006,96723,490.8834623385,0,"5915","59"
"112","Delta",2008,0,0,0,0,"British Columbia","5915011_2008",5915011,31.01,5,NA,NA,0,1,0.139180126570322,FALSE,3,FALSE,0,0,1,-4,2006,96723,490.8834623385,0,"5915","59"
"113","Delta",2011,0,0,0,0,"British Columbia","5915011_2011",5915011,33.72,3,NA,NA,0,1,0.167010486505071,FALSE,4,FALSE,0,0,1,-3,2011,99863,507.983923448014,0,"5915","59"
"114","Delta",2014,0,0,0,0,"British Columbia","5915011_2014",5915011,31.79,1,NA,NA,1,1,NA,FALSE,5,FALSE,1,0,1,-2,2016,102238,523.026187222073,0,"5915","59"
"115","Delta",2018,0,0,0,0,"British Columbia","5915011_2018",5915011,42,4,NA,NA,0,1,0.000302958016477062,FALSE,6,FALSE,0,0,1,-1,2016,102238,523.026187222073,0,"5915","59"
"116","Dollard-Des-Ormeaux",2005,0,0,0,0,"Quebec","2466142_2005",2466142,23.27,1,NA,NA,1,1,NA,FALSE,1,FALSE,1,0,1,-4,2006,48930,3217.46809656481,0,"2466","24"
"117","Dollard-Des-Ormeaux",2009,0,0,0,0,"Quebec","2466142_2009",2466142,29.07,2,NA,NA,0,1,0.708741708741709,FALSE,2,FALSE,0,0,1,-3,2011,49637,3263.96227147102,0,"2466","24"
"118","Dollard-Des-Ormeaux",2013,0,0,0,0,"Quebec","2466142_2013",2466142,17.44,1,NA,NA,1,1,NA,FALSE,3,FALSE,1,0,1,-2,2011,49637,3263.96227147102,0,"2466","24"
"119","Dollard-Des-Ormeaux",2017,0,0,0,0,"Quebec","2466142_2017",2466142,35.1,4,NA,NA,0,1,0.0841501314845804,FALSE,4,FALSE,0,0,1,-1,2016,48899,3243.17046625011,0,"2466","24"
"120","Drummondville",2005,2017,0,0,0,"Quebec","2449058_2005",2449058,32.16,1,NA,NA,1,1,NA,FALSE,1,FALSE,1,1,1,-3,2006,67392,259.19884357439,0,"2449","24"
"121","Drummondville",2009,2017,0,0,0,"Quebec","2449058_2009",2449058,34.57,2,NA,NA,0,1,0.407891156462585,FALSE,2,FALSE,0,1,1,-2,2011,71852,276.352538793759,0,"2449","24"
"122","Drummondville",2013,2017,0,0,0,"Quebec","2449058_2013",2449058,36.6,2,NA,NA,0,1,0.490339839492718,FALSE,3,FALSE,0,1,1,-1,2011,71852,276.352538793759,0,"2449","24"
"123","Drummondville",2017,2017,1,0,-1,"Quebec","2449058_2017",2449058,NA,1,NA,NA,1,1,NA,TRUE,1,TRUE,2,1,2,0,2016,75423,289.740972960813,0,"2449","24"
"124","Edmonton",2004,0,0,0,0,"Alberta","4811061_2004",4811061,41.8,8,NA,NA,0,1,0.0810851773264626,FALSE,1,FALSE,0,0,1,-5,2006,730372,1042.55485520451,0,"4811","48"
"125","Edmonton",2007,0,0,0,0,"Alberta","4811061_2007",4811061,27.2,9,NA,NA,0,1,0.404597394809608,FALSE,2,FALSE,0,0,1,-4,2006,730372,1042.55485520451,0,"4811","48"
"126","Edmonton",2010,0,0,0,0,"Alberta","4811061_2010",4811061,33.4,7,NA,NA,0,1,0.255259014010579,FALSE,3,FALSE,0,0,1,-3,2011,812201,1159.35991991776,0,"4811","48"
"127","Edmonton",2013,0,0,0,0,"Alberta","4811061_2013",4811061,34.5,6,NA,NA,0,1,0.428348799653479,FALSE,4,FALSE,0,0,1,-2,2011,812201,1159.35991991776,0,"4811","48"
"128","Edmonton",2017,0,0,0,0,"Alberta","4811061_2017",4811061,31.5,13,NA,NA,0,1,0.656883578167185,FALSE,5,FALSE,0,0,1,-1,2016,932546,1331.18038671474,0,"4811","48"
