newspaper desert,status,province,municipality,CSD code.x,year,turnout,Last Name,Votes,Election Total Votes,number of candidates,Magniuted = # of votes separating first from second,Level,Hierarchical structure,CSD code.y,province_code
0,0,British Columbia,Kelowna,5935010,2002,NA,Uitvlugt,1937,NA,2,NA,4,Census subdivision,5935010,59
0,0,British Columbia,Kelowna,5935010,2005,31.5,Shepherd,13706,NA,5,NA,4,Census subdivision,5935010,59
0,0,British Columbia,Kelowna,5935010,2005,31.5,Gary,11453,NA,5,NA,4,Census subdivision,5935010,59
0,0,British Columbia,Kelowna,5935010,2008,21.72,Shepherd,12770,18173,2,NA,4,Census subdivision,5935010,59
0,0,British Columbia,Kelowna,5935010,2008,21.72,Ouellette,4056,18173,2,NA,4,Census subdivision,5935010,59
0,0,British Columbia,Kelowna,5935010,2011,33.1,Gary,13995,29992,5,NA,4,Census subdivision,5935010,59
0,0,British Columbia,Kelowna,5935010,2011,33.1,Shepherd,13574,29992,5,NA,4,Census subdivision,5935010,59
0,0,British Columbia,Kelowna,5935010,2014,32,Basran,16888,29661,8,NA,4,Census subdivision,5935010,59
0,0,British Columbia,Kelowna,5935010,2014,32,Shepherd,10512,29661,8,NA,4,Census subdivision,5935010,59
0,0,British Columbia,Kelowna,5935010,2018,30.43,Basran,18118,32151,4,NA,4,Census subdivision,5935010,59
0,0,British Columbia,Kelowna,5935010,2018,30.43,Dyas,9518,32151,4,NA,4,Census subdivision,5935010,59
0,0,British Columbia,Saanich,5917021,2005,19.13,NA,NA,15767,1,NA,4,Census subdivision,5917021,59
0,0,British Columbia,Saanich,5917021,2005,19.13,NA,NA,15767,1,NA,4,Census subdivision,5917021,59
0,0,British Columbia,Saanich,5917021,2008,21.01,Lenard,11972,17240,2,NA,4,Census subdivision,5917021,59
0,0,British Columbia,Saanich,5917021,2008,21.01,Wolf,4665,17240,2,NA,4,Census subdivision,5917021,59
0,0,British Columbia,Saanich,5917021,2011,25.35,Lenard,11151,21234,3,NA,4,Census subdivision,5917021,59
0,0,British Columbia,Saanich,5917021,2011,25.35,Cubberley,9526,21234,3,NA,4,Census subdivision,5917021,59
0,0,British Columbia,Saanich,5917021,2014,34.700000000000003,Atwell,14178,28517,3,NA,4,Census subdivision,5917021,59
0,0,British Columbia,Saanich,5917021,2014,34.700000000000003,Lenard,13152,28517,3,NA,4,Census subdivision,5917021,59
0,0,British Columbia,Saanich,5917021,2018,34,Haynes,15312,32538,4,NA,4,Census subdivision,5917021,59
0,0,British Columbia,Saanich,5917021,2018,34,Atwell,10786,32538,4,NA,4,Census subdivision,5917021,59
0,0,British Columbia,Langley Township,NA,2005,19.53,NA,NA,NA,2,NA,NA,NA,NA,NA
0,0,British Columbia,Langley Township,NA,2005,19.53,NA,NA,NA,2,NA,NA,NA,NA,NA
0,0,British Columbia,Langley Township,NA,2008,21,Green,7842,14430,2,NA,NA,NA,NA,NA
0,0,British Columbia,Langley Township,NA,2008,21,Alberts,6588,14430,2,NA,NA,NA,NA,NA
0,0,British Columbia,Langley Township,NA,2011,27,Froese,7706,18804,3,NA,NA,NA,NA,NA
0,0,British Columbia,Langley Township,NA,2011,27,Kositsky,6522,18804,3,NA,NA,NA,NA,NA
0,0,British Columbia,Langley Township,NA,2014,30,Forese,13186,22654,3,NA,NA,NA,NA,NA
0,0,British Columbia,Langley Township,NA,2014,30,Green,7595,22654,3,NA,NA,NA,NA,NA
0,0,British Columbia,Langley Township,NA,2018,30,Forese,14855,25747,3,NA,NA,NA,NA,NA
0,0,British Columbia,Langley Township,NA,2018,30,Remenik,8407,25747,3,NA,NA,NA,NA,NA
0,0,British Columbia,Delta,5915011,2002,44.64,NA,NA,NA,4,NA,4,Census subdivision,5915011,59
0,0,British Columbia,Delta,5915011,2002,44.64,NA,NA,NA,4,NA,4,Census subdivision,5915011,59
0,0,British Columbia,Delta,5915011,2005,34.81,NA,NA,NA,2,NA,4,Census subdivision,5915011,59
