MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2010-2014 COUNCIL? (YES / NO)
Adelaide-Metcalfe Tp,SMITH,KURTIS,MAYOR,664,"1,165",ELECTED,YES
Adelaide-Metcalfe Tp,STOKMAN,NICK,DEPUTY MAYOR,605,"1,162",ELECTED,YES
Adelaide-Metcalfe Tp,HENDRIKX,MARY ANN,LOCAL COUNCILLOR,720,"2,918",ELECTED,NO
Adelaide-Metcalfe Tp,MACKINNON,BETTY ANN,LOCAL COUNCILLOR,766,"2,918",ELECTED,YES
Adelaide-Metcalfe Tp,SANDERS,GERALD,LOCAL COUNCILLOR,735,"2,918",ELECTED,NO
Amherstburg T,DICARLO,ALDO,MAYOR,"4,023","7,628",ELECTED,NO
Amherstburg T,DIPASQUALE,BART,DEPUTY MAYOR,"4,184","7,476",ELECTED,YES
Amherstburg T,POUGET,DIANE,LOCAL COUNCILLOR,"4,010","31,832",ELECTED,YES
Amherstburg T,LAVIGNE,JASON,LOCAL COUNCILLOR,"2,920","31,832",ELECTED,NO
Amherstburg T,MELOCHE,LEO,LOCAL COUNCILLOR,"2,448","31,832",ELECTED,NO
Amherstburg T,COURTNEY,JOAN,LOCAL COUNCILLOR,"2,257","31,832",ELECTED,NO
Amherstburg T,FRYER,RICHARD (RICK),LOCAL COUNCILLOR,"2,086","31,832",ELECTED,NO
Arran-Elderslie M,EAGLESON,PAUL,MAYOR,"1,600","2,557",ELECTED,YES
Arran-Elderslie M,DAVIS,MARK,DEPUTY MAYOR,"1,875","2,503",ELECTED,YES
Arran-Elderslie M,STEINACKER,PETER,LOCAL COUNCILLOR,260,468,ELECTED,YES
Arran-Elderslie M,HAMMELL,STEVE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Arran-Elderslie M,BELL,DOUGLAS R.,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Arran-Elderslie M,KERR,DANIEL W.,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Arran-Elderslie M,DUDGEON,BRIAN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Ashfield-Colborne-Wawanosh Tp,VANDIEPENBEEK,BEN,REEVE,"1,609","2,927",ELECTED,YES
Ashfield-Colborne-Wawanosh Tp,MILTENBURG,JENNIFER,LOCAL COUNCILLOR,631,"2,301",ELECTED,NO
Ashfield-Colborne-Wawanosh Tp,WATT,ROGER,LOCAL COUNCILLOR,809,"2,301",ELECTED,YES
Ashfield-Colborne-Wawanosh Tp,BOLLINGER,PAUL,LOCAL COUNCILLOR,331,"1,101",ELECTED,NO
Ashfield-Colborne-Wawanosh Tp,FORESTER,WAYNE,LOCAL COUNCILLOR,466,"1,101",ELECTED,NO
Ashfield-Colborne-Wawanosh Tp,MCNEIL,GLEN,LOCAL COUNCILLOR,720,"1,860",ELECTED,NO
Ashfield-Colborne-Wawanosh Tp,VANSTONE ,BILL,LOCAL COUNCILLOR,677,"1,860",ELECTED,NO
Aylmer T,CURRIE,GREG,MAYOR,"1,052","1,674",ELECTED,NO
Aylmer T,FRENCH,MARY,DEPUTY MAYOR,804,"1,587",ELECTED,NO
Aylmer T,ANDREWS,SHERI,LOCAL COUNCILLOR,986,"6,720",ELECTED,NO
Aylmer T,BARBOUR,PETER,LOCAL COUNCILLOR,795,"6,720",ELECTED,YES
Aylmer T,LAUR,BARBARA ANN,LOCAL COUNCILLOR,"1,003","6,720",ELECTED,NO
Aylmer T,MCDONALD,EDWARD C. (TED),LOCAL COUNCILLOR,760,"6,720",ELECTED,NO
Aylmer T,OSLACH,ARTHUR,LOCAL COUNCILLOR,721,"6,720",ELECTED,YES
Bayham M,ENS,PAUL L.,MAYOR,961,"1,477",ELECTED,YES
Bayham M,SOUTHWICK,TOM,DEPUTY MAYOR,796,"1,487",ELECTED,YES
Bayham M,BREYER,RANDY,LOCAL COUNCILLOR,164,551,ELECTED,NO
Bayham M,CASIER,WAYNE,LOCAL COUNCILLOR,359,483,ELECTED,YES
Bayham M,KETCHABAW,ED,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Blandford - Blenheim Tp,WEARN,MARION,MAYOR,"1,127","1,894",ELECTED,YES
Blandford - Blenheim Tp,BALZER,RANDY,LOCAL COUNCILLOR,"1,017","6,311",ELECTED,NO
Blandford - Blenheim Tp,BANBURY,G. BRUCE,LOCAL COUNCILLOR,"1,033","6,311",ELECTED,YES
Blandford - Blenheim Tp,COWAN,BETTY,LOCAL COUNCILLOR,869,"6,311",ELECTED,NO
Blandford - Blenheim Tp,PETERSON,MARK,LOCAL COUNCILLOR,"1,381","6,311",ELECTED,YES
Bluewater M,HESSEL,TYLER,MAYOR,"1,618","4,597",ELECTED,YES
Bluewater M,FERGUSSON,JIM,DEPUTY MAYOR,"2,838","4,454",ELECTED,NO
Bluewater M,WHETSTONE,BILL,LOCAL COUNCILLOR,558,903,ELECTED,NO
Bluewater M,BECKER,JOHN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Bluewater M,GILLESPIE,JOHN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Bluewater M,HILL,MARNIE,LOCAL COUNCILLOR,225,435,ELECTED,NO
Bluewater M,IRVIN,GEORGE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Bluewater M,ROY,DAVE,LOCAL COUNCILLOR,337,642,ELECTED,YES
Bluewater M,ZIMMERMAN,JANISSE,LOCAL COUNCILLOR,221,439,ELECTED,YES
Brant County,EDDY,RON,MAYOR,"5,357","9,645",ELECTED,YES
Brant County,BOUMA,WILLEM,LOCAL COUNCILLOR,928,"4,620",ELECTED,NO
Brant County,WHEAT,JOHN,LOCAL COUNCILLOR,956,"4,620",ELECTED,YES
Brant County,CARDY,DON,LOCAL COUNCILLOR,762,"2,954",ELECTED,YES
Brant County,SIMONS,SHIRLEY,LOCAL COUNCILLOR,"1,165","2,954",ELECTED,YES
Brant County,PEIRCE,JOHN,LOCAL COUNCILLOR,821,"2,642",ELECTED,NO
Brant County,POWELL,MURRAY,LOCAL COUNCILLOR,796,"2,642",ELECTED,YES
Brant County,CHAMBERS,ROBERT,LOCAL COUNCILLOR,"1,059","2,715",ELECTED,YES
Brant County,MILLER,DAVID,LOCAL COUNCILLOR,"1,027","2,715",ELECTED,YES
Brant County,COLEMAN,BRIAN,LOCAL COUNCILLOR,"1,326","3,409",ELECTED,YES
Brant County,GATWARD,JOAN,LOCAL COUNCILLOR,"1,087","3,409",ELECTED,YES
Brantford C,FRIEL,CHRIS,MAYOR,"8,743","24,271",ELECTED,YES
Brantford C,KINGS,LARRY M.,LOCAL COUNCILLOR,"1,730","5,001",ELECTED,YES
Brantford C,WEAVER,RICK,LOCAL COUNCILLOR,"1,075","5,001",ELECTED,NO
Brantford C,UTLEY,JOHN,LOCAL COUNCILLOR,"2,802","10,506",ELECTED,YES
Brantford C,SLESS,JOHN,LOCAL COUNCILLOR,"2,663","10,506",ELECTED,NO
Brantford C,MCCREARY,DAN,LOCAL COUNCILLOR,"3,844","11,727",ELECTED,YES
Brantford C,MARTIN,GREG,LOCAL COUNCILLOR,"2,873","11,727",ELECTED,NO
Brantford C,CARPENTER,RICHARD,LOCAL COUNCILLOR,"3,531","9,019",ELECTED,YES
Brantford C,ANTOSKI,CHERYL LYNN,LOCAL COUNCILLOR,"2,539","9,019",ELECTED,NO
Brantford C,NEUMANN,DAVID E.,LOCAL COUNCILLOR,"1,497","5,514",ELECTED,YES
Brantford C,VAN TILBORG,BRIAN,LOCAL COUNCILLOR,"1,292","5,514",ELECTED,NO
Brockton M,INGLIS,DAVID,MAYOR,"1,902","3,978",ELECTED,YES
Brockton M,GIERUSZAK,DAN,DEPUTY MAYOR,"2,313","3,921",ELECTED,NO
Brockton M,ADAMS,STEVE,LOCAL COUNCILLOR,"2,390","17,622",ELECTED,NO
Brockton M,BELL,BILL,LOCAL COUNCILLOR,"1,746","17,622",ELECTED,NO
Brockton M,LEIFSO,DEAN,LOCAL COUNCILLOR,"1,828","17,622",ELECTED,YES
Brockton M,OBERLE,CHRIS,LOCAL COUNCILLOR,"1,829","17,622",ELECTED,NO
Brockton M,PEABODY,CHRISTOPHER,LOCAL COUNCILLOR,"2,630","17,622",ELECTED,YES
Brooke-Alvinston M,MCGUGAN,DON,MAYOR,721,"1,235",ELECTED,YES
Brooke-Alvinston M,ALDERMAN,KEN,LOCAL COUNCILLOR,815,"4,379",ELECTED,YES
Brooke-Alvinston M,HAYTER,JIM,LOCAL COUNCILLOR,814,"4,379",ELECTED,YES
Brooke-Alvinston M,DOUGLAS,JEANNETTE,LOCAL COUNCILLOR,704,"4,379",ELECTED,NO
Brooke-Alvinston M,NEMCEK,FRANK,LOCAL COUNCILLOR,701,"4,379",ELECTED,YES
Bruce Co,EAGLESON,PAUL,COUNTY COUNCILLOR,,,,YES
Bruce Co,INGLIS,DAVID,COUNTY COUNCILLOR,,,,YES
Bruce Co,TWOLAN,MITCHELL,COUNTY COUNCILLOR,,,,YES
Bruce Co,EADIE,ANNE,COUNTY COUNCILLOR,,,,NO
Bruce Co,MCIVER,MILT,COUNTY COUNCILLOR,,,,YES
Bruce Co,JACKSON,JANICE,COUNTY COUNCILLOR,,,,NO
Bruce Co,SMITH,MIKE,COUNTY COUNCILLOR,,,,NO
Bruce Co,BUCKLE,ROBERT,COUNTY COUNCILLOR,,,,NO
Cambridge C,CRAIG,DOUG,MAYOR,"13,484","25,308",ELECTED,YES
Cambridge C,REID,DONNA,LOCAL COUNCILLOR,"1,537","2,631",ELECTED,YES
Cambridge C,DEVINE,MIKE,LOCAL COUNCILLOR,"2,047","3,874",ELECTED,NO
Cambridge C,MANN,MIKE,LOCAL COUNCILLOR,"1,002","3,011",ELECTED,NO
Cambridge C,LIGGETT,JAN,LOCAL COUNCILLOR,948,"2,553",ELECTED,NO
Cambridge C,WOLF,PAM,LOCAL COUNCILLOR,"1,726","3,382",ELECTED,YES
Cambridge C,ADSHADE,SHANNON,LOCAL COUNCILLOR,"1,458","3,493",ELECTED,NO
Cambridge C,MONTEIRO,FRANK,LOCAL COUNCILLOR,"1,375","1,828",ELECTED,YES
Cambridge C,ERMETA,NICHOLAS,LOCAL COUNCILLOR,"2,533","4,048",ELECTED,YES
Central Elgin M,MARR,DAVID,MAYOR,"2,505","3,939",ELECTED,YES
Central Elgin M,MARTYN,SALLY,DEPUTY MAYOR,"1,691","3,929",ELECTED,YES
Central Elgin M,MCNEIL,DAN,LOCAL COUNCILLOR,671,949,ELECTED,YES
Central Elgin M,CREVITS,DENNIS,LOCAL COUNCILLOR,636,896,ELECTED,NO
Central Elgin M,CARR,STEPHEN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Central Elgin M,WINKWORTH,HAROLD,LOCAL COUNCILLOR,335,812,ELECTED,NO
Central Elgin M,ROBERTS,FIONA,LOCAL COUNCILLOR,387,727,ELECTED,NO
Central Huron M,GINN,JIM L.,MAYOR, -   , -   ,ACCLAIMED,YES
Central Huron M,JEWITT,DAVID,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES
Central Huron M,ANDERSON,MARG,LOCAL COUNCILLOR,840,"1,310",ELECTED,YES
Central Huron M,WESTERHOUT,ALEX,LOCAL COUNCILLOR,818,"1,310",ELECTED,YES
Central Huron M,COLQUHOUN,DANNY,LOCAL COUNCILLOR,630,"1,310",ELECTED,YES
Central Huron M,METZGER,BURKHARD,LOCAL COUNCILLOR,544,754,ELECTED,YES
Central Huron M,LOBB,ALISON,LOCAL COUNCILLOR,502,754,ELECTED,YES
Central Huron M,SMITH,GENNY,LOCAL COUNCILLOR,468,754,ELECTED,NO
Centre Wellington Tp,LINTON,KELLY,MAYOR,"5,598","8,877",ELECTED,YES
Centre Wellington Tp,FISHER,DON,LOCAL COUNCILLOR,"1,043","2,125",ELECTED,NO
Centre Wellington Tp,MCELWAIN,KIRK,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Centre Wellington Tp,LLOYD,MARY,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Centre Wellington Tp,MORRIS,FRED,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Centre Wellington Tp,KITRAS,STEPHEN,LOCAL COUNCILLOR,676,"1,435",ELECTED,NO
Centre Wellington Tp,VANLEEUWEN,STEVEN,LOCAL COUNCILLOR,656,894,ELECTED,YES
Chatham-Kent M,HOPE,RANDY,MAYOR,"9,242","32,783",ELECTED,YES
Chatham-Kent M,AUTHIER,MARK,LOCAL COUNCILLOR,"1,291","2,392",ELECTED,NO
Chatham-Kent M,FLUKER,BRYON,LOCAL COUNCILLOR,"1,545","2,392",ELECTED,YES
Chatham-Kent M,HERMAN,KAREN,LOCAL COUNCILLOR,"2,382","4,488",ELECTED,YES
Chatham-Kent M,THOMPSON,TREVOR ,LOCAL COUNCILLOR,"3,373","4,488",ELECTED,NO
Chatham-Kent M,VERCOUTEREN,FRANK,LOCAL COUNCILLOR,"2,800","4,488",ELECTED,YES
Chatham-Kent M,PINSONNEAULT ,STEVE,LOCAL COUNCILLOR,"2,035","3,010",ELECTED,YES
Chatham-Kent M,VANDAMME,DAVID,LOCAL COUNCILLOR,"1,762","3,010",ELECTED,NO
Chatham-Kent M,FAAS,JOE,LOCAL COUNCILLOR,"2,631","2,554",ELECTED,YES
Chatham-Kent M,LECLAIR,LEON,LOCAL COUNCILLOR,"2,668","2,554",ELECTED,YES
Chatham-Kent M,MCGREGOR,CARMEN,LOCAL COUNCILLOR,"1,578","2,148",ELECTED,NO
Chatham-Kent M,WESLEY,JEFF,LOCAL COUNCILLOR,"2,383","2,148",ELECTED,YES
Chatham-Kent M,BONDY,MICHAEL,LOCAL COUNCILLOR,"6,821","13,251",ELECTED,YES
Chatham-Kent M,CANNIFF,DARRIN,LOCAL COUNCILLOR,"7,000","13,251",ELECTED,NO
Chatham-Kent M,MCGREGOR,BROCK,LOCAL COUNCILLOR,"4,385","13,251",ELECTED,NO
Chatham-Kent M,MYERS,BOB,LOCAL COUNCILLOR,"4,677","13,251",ELECTED,YES
Chatham-Kent M,ROBERTSON,DEREK,LOCAL COUNCILLOR,"5,063","13,251",ELECTED,YES
Chatham-Kent M,SULMAN,DOUG,LOCAL COUNCILLOR,"5,779","13,251",ELECTED,YES
Chatsworth Tp,PRINGLE,ROBERT (BOB),MAYOR,"1,968","2,775",ELECTED,YES
Chatsworth Tp,MACKEY,SCOTT,DEPUTY MAYOR,"2,053","2,793",ELECTED,YES
Chatsworth Tp,GAMBLE,BRIAN,LOCAL COUNCILLOR,"1,569","7,608",ELECTED,YES
Chatsworth Tp,GREIG,SHAWN,LOCAL COUNCILLOR,"1,386","7,608",ELECTED,NO
Chatsworth Tp,THOMPSON,ELIZABETH,LOCAL COUNCILLOR,"1,280","7,608",ELECTED,NO
Dawn-Euphemia Tp,BROAD,ALAN,MAYOR,,,ACCLAIMED,YES
Dawn-Euphemia Tp,BILTON,WILLIAM(BILL),LOCAL COUNCILLOR,617,"2,986",ELECTED,YES
Dawn-Euphemia Tp,MEYER,JASON,LOCAL COUNCILLOR,588,"2,986",ELECTED,YES
Dawn-Euphemia Tp,WIILAMS,LESLEA,LOCAL COUNCILLOR,556,"2,986",ELECTED,YES
Dawn-Euphemia Tp,LEBOEUF,PAUL,LOCAL COUNCILLOR,468,"2,986",ELECTED,NO
Dutton-Dunwich M,MCWILLIAM,CAMERON,MAYOR,813,"1,091",ELECTED,YES
Dutton-Dunwich M,PURCELL,ROBERT (BOB),DEPUTY MAYOR,,,ACCLAIMED,YES
Dutton-Dunwich M,FLECK,IAN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Dutton-Dunwich M,MCKILLOP,DAN,LOCAL COUNCILLOR,336,"1,304",ELECTED,YES
Dutton-Dunwich M,HENTZ,MIKE,LOCAL COUNCILLOR,283,"1,304",ELECTED,NO
East Zorra - Tavistock Tp,MCKAY,DON,MAYOR,,,ACCLAIMED,YES
East Zorra - Tavistock Tp,RALPH,MAUREEN,DEPUTY MAYOR,,,ACCLAIMED,YES
East Zorra - Tavistock Tp,FULTON,LINDA,LOCAL COUNCILLOR,492,"2,033",ELECTED,YES
East Zorra - Tavistock Tp,HANLON,SHIRLEY,LOCAL COUNCILLOR,615,"2,033",ELECTED,NO
East Zorra - Tavistock Tp,CAMPBELL,MIKE,LOCAL COUNCILLOR,211,534,ELECTED,NO
East Zorra - Tavistock Tp,ROUTLY,MIKE,LOCAL COUNCILLOR,445,"1,367",ELECTED,NO
East Zorra - Tavistock Tp,SMITH,JEREMY,LOCAL COUNCILLOR,555,"1,367",ELECTED,YES
Elgin Co,CURRIE,GREG,COUNTY COUNCILLOR,,,,NO
Elgin Co,ENS,PAUL,COUNTY COUNCILLOR,,,,YES
Elgin Co,MARR,DAVID,COUNTY COUNCILLOR,,,,YES
Elgin Co,MARTYN,SALLY,COUNTY COUNCILLOR,,,,NO
Elgin Co,MCWILLIAM,CAMERON,COUNTY COUNCILLOR,,,,YES
Elgin Co,MENNILL,DAVE,COUNTY COUNCILLOR,,,,YES
Elgin Co,JONES,GRANT,COUNTY COUNCILLOR,,,,NO
Elgin Co,WIEHLE,BERNIE,COUNTY COUNCILLOR,,,,YES
Elgin Co,WOLFE,MIKE,COUNTY COUNCILLOR,,,,NO
Enniskillen Tp,MARRIOTT,KEVIN,MAYOR,,,ACCLAIMED,YES
Enniskillen Tp,MCCALLUM,MARY LYNNE,LOCAL COUNCILLOR,552,"2,676",ELECTED,YES
Enniskillen Tp,VAN DUN,WALLY,LOCAL COUNCILLOR,539,"2,676",ELECTED,NO
Enniskillen Tp,KRALL,JUDY,LOCAL COUNCILLOR,514,"2,676",ELECTED,NO
Enniskillen Tp,O'HARA WILSON,KATHY,LOCAL COUNCILLOR,506,"2,676",ELECTED,YES
Erin T,ALLS,ALLAN,MAYOR,"2,403","3,987",ELECTED,NO
Erin T,BRENNAN,JOHN,LOCAL COUNCILLOR,"1,990","14,032",ELECTED,YES
Erin T,DUNCAN,JEFF,LOCAL COUNCILLOR,"1,936","14,032",ELECTED,NO
Erin T,SAMMUT,MATT,LOCAL COUNCILLOR,"1,735","14,032",ELECTED,NO
Erin T,SMITH,ROB,LOCAL COUNCILLOR,"1,429","14,032",ELECTED,NO
Essex Co,DICARLO,ALDO,COUNTY COUNCILLOR,,,,NO
Essex Co,BAIN,TOM,COUNTY COUNCILLOR,,,,YES
Essex Co,ANTAYA,KEN,COUNTY COUNCILLOR,,,,YES
Essex Co,PATERSON,JOHN,COUNTY COUNCILLOR,,,,YES
Essex Co,MCDERMOTT,RON,COUNTY COUNCILLOR,,,,YES
Essex Co,FAZIO,ALDO,COUNTY COUNCILLOR,,,,NO
Essex Co,BONDY,MARC,COUNTY COUNCILLOR,,,,NO
Essex Co,MACDONALD,HILDA,COUNTY COUNCILLOR,,,,NO
Essex Co,SANTOS,NELSON,COUNTY COUNCILLOR,,,,YES
Essex Co,QUEEN,GORD,COUNTY COUNCILLOR,,,,NO
Essex Co,TBD BY ESSEX COUNCIL,TBD BY ESSEX COUNCIL,COUNTY COUNCILLOR,,,,
Essex Co,MCNAMARA,GARY,COUNTY COUNCILLOR,,,,YES
Essex Co,BACHETTI,JOE,COUNTY COUNCILLOR,,,,NO
Essex Co,DIPASQUALE,BART,COUNTY COUNCILLOR,,,,NO
Essex T,MCDERMOTT,RON,MAYOR,"2,619","7,850",ELECTED,YES
Essex T,BJORKMAN,STEVE,LOCAL COUNCILLOR,914,"5,098",ELECTED,NO
Essex T,VOAKES,RANDY,LOCAL COUNCILLOR,"1,631","5,098",ELECTED,YES
Essex T,MELOCHE,RICHARD,LOCAL COUNCILLOR,668,"1,552",ELECTED,YES
Essex T,CAIXEIRO,BILL,LOCAL COUNCILLOR,976,"4,354",ELECTED,NO
Essex T,SNIVELY,LARRY,LOCAL COUNCILLOR,"1,148","4,354",ELECTED,NO
Essex T,BONDY,SHERRY,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Georgian Bluffs Tp,BARFOOT,ALAN,MAYOR,,,ACCLAIMED,YES
Georgian Bluffs Tp,BURLEY,DWIGHT,DEPUTY MAYOR,"2,240",,ELECTED,YES
Georgian Bluffs Tp,THOMPSON,RYAN,LOCAL COUNCILLOR,"2,266",,ELECTED,YES
Georgian Bluffs Tp,BARFOOT,CAROL,LOCAL COUNCILLOR,"2,257",,ELECTED,YES
Georgian Bluffs Tp,CARLETON,SUE,LOCAL COUNCILLOR,"2,146",,ELECTED,YES
Georgian Bluffs Tp,SUTHERLAND,PAUL,LOCAL COUNCILLOR,"2,139",,ELECTED,YES
Georgian Bluffs Tp,WILEY,TOM,LOCAL COUNCILLOR,"2,022",,ELECTED,YES
Goderich T,MORRISON,KEVIN,MAYOR,"1,995","3,475",ELECTED,YES
Goderich T,DONNELLY,JIM,DEPUTY MAYOR,"1,480","3,480",ELECTED,YES
Goderich T,MURDOCK,MYLES,LOCAL COUNCILLOR,"2,246","14,481",ELECTED,NO
Goderich T,ELLIOTT,LUKE,LOCAL COUNCILLOR,"2,073","14,481",ELECTED,YES
Goderich T,HOY,MATTHEW (MATT),LOCAL COUNCILLOR,"2,023","14,481",ELECTED,NO
Goderich T,HANSEN,MICHELE,LOCAL COUNCILLOR,"1,828","14,481",ELECTED,YES
Goderich T,BAZINET,TREVOR,LOCAL COUNCILLOR,"1,535","14,481",ELECTED,NO
Grey Co,PRINGLE,ROBERT,COUNTY COUNCILLOR,,,,YES
Grey Co,MACKEY,SCOTT,COUNTY COUNCILLOR,,,,NO
Grey Co,BARFOOT,ALAN,COUNTY COUNCILLOR,,,,YES
Grey Co,BURLEY,DWIGHT,COUNTY COUNCILLOR,,,,YES
Grey Co,MCQUEEN,PAUL,COUNTY COUNCILLOR,,,,YES
Grey Co,HALLIDAY,STEWART,COUNTY COUNCILLOR,,,,NO
Grey Co,PATERSON,SUE,COUNTY COUNCILLOR,,,,NO
Grey Co,HICKS,SELWYN,COUNTY COUNCILLOR,,,,NO
Grey Co,CLUMPUS,BARB,COUNTY COUNCILLOR,,,,NO
Grey Co,GREENFIELD,HARLEY,COUNTY COUNCILLOR,,,,YES
Grey Co,FOSBROOKE,ANNA-MARIE,COUNTY COUNCILLOR,,,,NO
Grey Co,NORMAN,JACK,COUNTY COUNCILLOR,,,,NO
Grey Co,ECCLES,KEVIN,COUNTY COUNCILLOR,,,,YES
Grey Co,BELL,JOHN,COUNTY COUNCILLOR,,,,YES
Grey Co,BODDY,IAN,COUNTY COUNCILLOR,,,,NO
Grey Co,WRIGHT,ARLENE,COUNTY COUNCILLOR,,,,YES
Grey Co,MCKEAN,JOHN,COUNTY COUNCILLOR,,,,NO
Grey Co,ARDIEL,GAIL,COUNTY COUNCILLOR,,,,NO
Grey Highlands M,MCQUEEN,PAUL,MAYOR,"2,241","4,021",ELECTED,YES
Grey Highlands M,HALLIDAY,STEWART,DEPUTY MAYOR,"2,136","3,859",ELECTED,YES
Grey Highlands M,DESAI,AAKASH,LOCAL COUNCILLOR,"1,801","15,320",ELECTED,NO
Grey Highlands M,HARRIS,PEGGY,LOCAL COUNCILLOR,"2,221","15,320",ELECTED,NO
Grey Highlands M,LITTLE,CATHY,LOCAL COUNCILLOR,"1,948","15,320",ELECTED,NO
Grey Highlands M,MOKRIY,TERRY,LOCAL COUNCILLOR,"2,234","15,320",ELECTED,NO
Grey Highlands M,SILVERTON,LYNN,LOCAL COUNCILLOR,"1,827","15,320",ELECTED,YES
Guelph C,GUTHRIE,CAM,MAYOR,"19,672","38,760",ELECTED,YES
Guelph C,GIBSON,DAN,LOCAL COUNCILLOR,"3,419","12,199",ELECTED,NO
Guelph C,BELL,BOB,LOCAL COUNCILLOR,"2,984","12,199",ELECTED,YES
Guelph C,VAN HELLEMOND,ANDY,LOCAL COUNCILLOR,"3,266","11,877",ELECTED,YES
Guelph C,GORDON,JAMES,LOCAL COUNCILLOR,"2,990","11,877",ELECTED,NO
Guelph C,ALLT,PHIL,LOCAL COUNCILLOR,"2,299","10,264",ELECTED,NO
Guelph C,HOFLAND,JUNE,LOCAL COUNCILLOR,"2,050","10,264",ELECTED,YES
Guelph C,BILLINGS,CHRISTINE,LOCAL COUNCILLOR,"2,300","9,321",ELECTED,NO
Guelph C,SALISBURY,MIKE,LOCAL COUNCILLOR,"2,197","9,321",ELECTED,NO
Guelph C,PIPER,LEANNE,LOCAL COUNCILLOR,"3,386","11,904",ELECTED,YES
Guelph C,DOWNER,CATHY,LOCAL COUNCILLOR,"2,795","11,904",ELECTED,NO
Guelph C,MACKINNON,MARK,LOCAL COUNCILLOR,"3,806","11,375",ELECTED,NO
Guelph C,WETTSTEIN,KARL,LOCAL COUNCILLOR,"2,886","11,375",ELECTED,YES
Guelph-Eramosa Tp,WHITE,CHRIS,MAYOR,"2,361","3,444",ELECTED,YES
Guelph-Eramosa Tp,WOLK,DAVID,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Guelph-Eramosa Tp,WOODS,COREY,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Guelph-Eramosa Tp,MARSHALL,LOUISE,LOCAL COUNCILLOR,611,"1,135",ELECTED,NO
Guelph-Eramosa Tp,BOUWMEESTER,MARK,LOCAL COUNCILLOR,712,"1,157",ELECTED,NO
Haldimand County,HEWITT,KEN,MAYOR,"6,804","13,038",ELECTED,YES
Haldimand County,BARTLETT,LEROY,LOCAL COUNCILLOR,775,"2,071",ELECTED,YES
Haldimand County,MORISON,FRED,LOCAL COUNCILLOR,820,"2,192",ELECTED,YES
Haldimand County,GRICE,CRAIG,LOCAL COUNCILLOR,"1,617","2,815",ELECTED,YES
Haldimand County,DALIMONTE,TONY,LOCAL COUNCILLOR,"1,451","2,179",ELECTED,YES
Haldimand County,SHIRTON,ROB,LOCAL COUNCILLOR,734,"1,639",ELECTED,YES
Haldimand County,CORBETT,BERNIE,LOCAL COUNCILLOR,"1,427","2,253",ELECTED,NO
Hanover T,PATERSON,SUE,MAYOR,"1,441","3,047",ELECTED,YES
Hanover T,HICKS,SELWYN J.,DEPUTY MAYOR,"1,576","3,004",ELECTED,YES
Hanover T,FITZSIMMONS,STEVE,LOCAL COUNCILLOR,"1,368","12,489",ELECTED,NO
Hanover T,HAMBLY,PETER D.,LOCAL COUNCILLOR,"1,316","12,489",ELECTED,YES
Hanover T,HOPKINS,RICK,LOCAL COUNCILLOR,"1,839","12,489",ELECTED,YES
Hanover T,KING,EDWARD,LOCAL COUNCILLOR,"1,515","12,489",ELECTED,YES
Hanover T,PRATT-PAIGE,HAZEL,LOCAL COUNCILLOR,"1,412","12,489",ELECTED,NO
Howick Tp,VERSTEEG,ART,REEVE,752,"1,096",ELECTED,YES
Howick Tp,CLARKSON,ROBERT,DEPUTY REEVE,639,"1,096",ELECTED,YES
Howick Tp,SCOTT,RANDY,LOCAL COUNCILLOR,919,"1,096",ELECTED,YES
Howick Tp,HENHOEFFER,LINDA,LOCAL COUNCILLOR,796,"1,096",ELECTED,YES
Howick Tp,ORR,RICHARD,LOCAL COUNCILLOR,778,"1,096",ELECTED,NO
Huron Co,VANDIEPENBEEK,BEN,COUNTY COUNCILLOR,,,,YES
Huron Co,TBD,ACW DEPUTY REEVE,COUNTY COUNCILLOR,,,,
Huron Co,HESSEL,TYLER,COUNTY COUNCILLOR,,,,YES
Huron Co,FERGUSSON,JIM,COUNTY COUNCILLOR,,,,NO
Huron Co,GINN,JIM,COUNTY COUNCILLOR,,,,YES
Huron Co,JEWITT,DAVID,COUNTY COUNCILLOR,,,,YES
Huron Co,MORRISON,KEVIN,COUNTY COUNCILLOR,,,,YES
